cv_metric_AUC,logLoss,AUC,prAUC,Accuracy,Kappa,F1,Sensitivity,Specificity,Pos_Pred_Value,Neg_Pred_Value,Precision,Recall,Detection_Rate,Balanced_Accuracy,method,seed,algorithm,split
0.669953604557595,0.581165386392261,0.79867351305092,0.781518804680764,0.744897959183674,0.474023185916703,0.782608695652174,0.789473684210526,0.682926829268293,0.775862068965517,0.7,0.775862068965517,0.789473684210526,0.459183673469388,0.736200256739409,rf,1,opticlust_denovo,split_1
0.692738778665108,0.613667578420322,0.76530612244898,0.720636481749784,0.755102040816326,0.505882352941176,0.777777777777778,0.75,0.761904761904762,0.807692307692308,0.695652173913043,0.807692307692308,0.75,0.428571428571429,0.755952380952381,rf,2,opticlust_denovo,split_2
0.710174075136683,0.61548354749069,0.70496632996633,0.700678537689774,0.642857142857143,0.270523181624841,0.690265486725664,0.722222222222222,0.545454545454545,0.661016949152542,0.615384615384615,0.661016949152542,0.722222222222222,0.397959183673469,0.633838383838384,rf,3,opticlust_denovo,split_3
0.677899743604766,0.591401712604659,0.775883838383838,0.752326721823118,0.714285714285714,0.412671232876712,0.758620689655172,0.814814814814815,0.590909090909091,0.709677419354839,0.722222222222222,0.709677419354839,0.814814814814815,0.448979591836735,0.702861952861953,rf,4,opticlust_denovo,split_4
0.691888615471214,0.613351763759864,0.747325631151048,0.728409766943253,0.673469387755102,0.33361665958351,0.714285714285714,0.701754385964912,0.634146341463415,0.727272727272727,0.604651162790698,0.727272727272727,0.701754385964912,0.408163265306122,0.667950363714163,rf,5,opticlust_denovo,split_5
0.679871270223019,0.589022710765241,0.805590321234877,0.796578040460887,0.714285714285714,0.425701130179992,0.735849056603774,0.764705882352941,0.659574468085106,0.709090909090909,0.720930232558139,0.709090909090909,0.764705882352941,0.397959183673469,0.712140175219024,rf,6,opticlust_denovo,split_6
0.698137461904098,0.647816888850645,0.6775,0.643168800726023,0.653061224489796,0.301174496644295,0.706896551724138,0.82,0.479166666666667,0.621212121212121,0.71875,0.621212121212121,0.82,0.418367346938776,0.649583333333333,rf,7,opticlust_denovo,split_7
0.692855353155395,0.627363773578258,0.728622064687638,0.679382036896952,0.704081632653061,0.380287832533799,0.756302521008403,0.737704918032787,0.648648648648649,0.775862068965517,0.6,0.775862068965517,0.737704918032787,0.459183673469388,0.693176783340718,rf,8,opticlust_denovo,split_8
0.708540508735843,0.634413710112052,0.7125,0.67767893428547,0.673469387755102,0.341729638958858,0.728813559322034,0.86,0.479166666666667,0.632352941176471,0.766666666666667,0.632352941176471,0.86,0.438775510204082,0.669583333333333,rf,9,opticlust_denovo,split_9
0.695174955295541,0.624817730690651,0.71007525083612,0.677835014377995,0.642857142857143,0.267407090986758,0.710743801652893,0.826923076923077,0.434782608695652,0.623188405797101,0.689655172413793,0.623188405797101,0.826923076923077,0.438775510204082,0.630852842809364,rf,10,opticlust_denovo,split_10
0.70008929011668,0.642762640123482,0.695,0.671259657022123,0.663265306122449,0.321443558539656,0.717948717948718,0.84,0.479166666666667,0.626865671641791,0.741935483870968,0.626865671641791,0.84,0.428571428571429,0.659583333333333,rf,11,opticlust_denovo,split_11
0.70815424087566,0.633387458132632,0.718541666666667,0.679871475607631,0.653061224489796,0.299411269974769,0.721311475409836,0.88,0.416666666666667,0.611111111111111,0.769230769230769,0.611111111111111,0.88,0.448979591836735,0.648333333333333,rf,12,opticlust_denovo,split_12
0.697011610155956,0.632742457373625,0.72375,0.697645484791744,0.653061224489796,0.309286898839138,0.685185185185185,0.770833333333333,0.54,0.616666666666667,0.710526315789474,0.616666666666667,0.770833333333333,0.377551020408163,0.655416666666667,rf,13,opticlust_denovo,split_13
0.717475973043076,0.662732325448805,0.658333333333333,0.64185301656144,0.602040816326531,0.194690265486726,0.692913385826772,0.88,0.3125,0.571428571428571,0.714285714285714,0.571428571428571,0.88,0.448979591836735,0.59625,rf,14,opticlust_denovo,split_14
0.708091881658532,0.611075365025742,0.75219298245614,0.733784801012681,0.73469387755102,0.424570912375791,0.793650793650794,0.833333333333333,0.578947368421053,0.757575757575758,0.6875,0.757575757575758,0.833333333333333,0.510204081632653,0.706140350877193,rf,15,opticlust_denovo,split_15
0.704565903274399,0.623938593226313,0.702114164904863,0.679934054634333,0.653061224489796,0.280966767371601,0.711864406779661,0.763636363636364,0.511627906976744,0.666666666666667,0.628571428571429,0.666666666666667,0.763636363636364,0.428571428571429,0.637632135306554,rf,16,opticlust_denovo,split_16
0.709507797602144,0.612571011767305,0.740833333333333,0.710925789125427,0.653061224489796,0.303511705685619,0.685185185185185,0.74,0.5625,0.637931034482759,0.675,0.637931034482759,0.74,0.377551020408163,0.65125,rf,17,opticlust_denovo,split_17
0.691302098795047,0.635963692616483,0.700547138047138,0.665309202367157,0.653061224489796,0.280656303972366,0.716666666666667,0.796296296296296,0.477272727272727,0.651515151515151,0.65625,0.651515151515151,0.796296296296296,0.438775510204082,0.636784511784512,rf,18,opticlust_denovo,split_18
0.707008559851808,0.664828055516949,0.656776094276094,0.650655373709729,0.561224489795918,0.157536985205918,0.481927710843374,0.37037037037037,0.795454545454545,0.689655172413793,0.507246376811594,0.689655172413793,0.37037037037037,0.204081632653061,0.582912457912458,rf,19,opticlust_denovo,split_19
0.689920638936597,0.622228633650008,0.745932415519399,0.734032199604376,0.63265306122449,0.27970600244998,0.7,0.893617021276596,0.392156862745098,0.575342465753425,0.8,0.575342465753425,0.893617021276596,0.428571428571429,0.642886942010847,rf,20,opticlust_denovo,split_20
0.709473538290878,0.641251023441181,0.661531878476679,0.637217781732709,0.653061224489796,0.261852015950376,0.725806451612903,0.789473684210526,0.463414634146341,0.671641791044776,0.612903225806452,0.671641791044776,0.789473684210526,0.459183673469388,0.626444159178434,rf,21,opticlust_denovo,split_21
0.685532936925881,0.595669613860989,0.794326241134752,0.768392186313166,0.683673469387755,0.376180698151951,0.725663716814159,0.872340425531915,0.509803921568627,0.621212121212121,0.8125,0.621212121212121,0.872340425531915,0.418367346938776,0.691072173550271,rf,22,opticlust_denovo,split_22
