methods,splits,train,test,fract_test_in_train
opticlust_denovo,1,5436,2774,0.5103016924208977
opticlust_denovo,2,5544,2616,0.47186147186147187
opticlust_denovo,3,5451,2780,0.5099981654742249
opticlust_denovo,4,5416,2803,0.5175406203840472
opticlust_denovo,5,5512,2723,0.49401306240928883
opticlust_denovo,6,5449,2813,0.5162415122040741
opticlust_denovo,7,5459,2785,0.5101666971972889
opticlust_denovo,8,5405,2843,0.5259944495837188
opticlust_denovo,9,5534,2638,0.47668955547524394
opticlust_denovo,10,5415,2812,0.519298245614035
opticlust_denovo,11,5444,2768,0.5084496693607642
opticlust_denovo,12,5475,2777,0.5072146118721461
opticlust_denovo,13,5494,2703,0.49199126319621406
opticlust_denovo,14,5480,2753,0.5023722627737226
opticlust_denovo,15,5449,2805,0.5147733529087906
opticlust_denovo,16,5482,2737,0.49927033929222914
opticlust_denovo,17,5516,2693,0.48821609862219
opticlust_denovo,18,5480,2680,0.48905109489051096
opticlust_denovo,19,5501,2638,0.4795491728776586
opticlust_denovo,20,5459,2700,0.4945960798681077
opticlust_denovo,21,5478,2682,0.4895947426067908
opticlust_denovo,22,5401,2838,0.5254582484725051
opticlust_denovo,23,5494,2674,0.48671277757553694
opticlust_denovo,24,5493,2684,0.4886218823957764
opticlust_denovo,25,5411,2815,0.5202365551654038
opticlust_denovo,26,5370,2908,0.5415270018621974
opticlust_denovo,27,5494,2715,0.49417546414270114
opticlust_denovo,28,5402,2809,0.519992595335061
opticlust_denovo,29,5502,2717,0.4938204289349328
opticlust_denovo,30,5463,2713,0.4966135822807981
opticlust_denovo,31,5423,2830,0.5218513737783514
opticlust_denovo,32,5405,2822,0.522109158186864
opticlust_denovo,33,5482,2731,0.49817584823057276
opticlust_denovo,34,5452,2772,0.5084372707263389
opticlust_denovo,35,5411,2848,0.5263352430234707
opticlust_denovo,36,5441,2764,0.507994853887153
opticlust_denovo,37,5437,2773,0.5100239102446202
opticlust_denovo,38,5386,2907,0.5397326401782399
opticlust_denovo,39,5435,2844,0.5232750689972401
opticlust_denovo,40,5453,2750,0.5043095543737393
opticlust_denovo,41,5481,2728,0.4977193942711184
opticlust_denovo,42,5462,2716,0.4972537532039546
opticlust_denovo,43,5564,2641,0.4746585190510424
opticlust_denovo,44,5498,2698,0.4907238995998545
opticlust_denovo,45,5455,2790,0.5114573785517873
opticlust_denovo,46,5442,2814,0.5170893054024256
opticlust_denovo,47,5529,2660,0.48109965635738833
opticlust_denovo,48,5561,2614,0.47005934184499193
opticlust_denovo,49,5435,2746,0.5052437902483901
opticlust_denovo,50,5570,2609,0.46840215439856375
opticlust_denovo,51,5397,2860,0.5299240318695572
opticlust_denovo,52,5426,2775,0.5114264651677111
opticlust_denovo,53,5480,2738,0.4996350364963504
opticlust_denovo,54,5490,2684,0.4888888888888889
opticlust_denovo,55,5404,2827,0.5231310140636566
opticlust_denovo,56,5306,2979,0.5614398793818319
opticlust_denovo,57,5539,2583,0.4663296623939339
