specificity,sensitivity,algorithm,split
0,0.975609756097561,optifit,1
0.01,0.975609756097561,optifit,1
0.02,0.975609756097561,optifit,1
0.03,0.975609756097561,optifit,1
0.04,0.975609756097561,optifit,1
0.05,0.975609756097561,optifit,1
0.06,0.975609756097561,optifit,1
0.07,0.975609756097561,optifit,1
0.08,0.975609756097561,optifit,1
0.09,0.975609756097561,optifit,1
0.1,0.975609756097561,optifit,1
0.11,0.975609756097561,optifit,1
0.12,0.975609756097561,optifit,1
0.13,0.975609756097561,optifit,1
0.14,0.975609756097561,optifit,1
0.15,0.975609756097561,optifit,1
0.16,0.975609756097561,optifit,1
0.17,0.975609756097561,optifit,1
0.18,0.926829268292683,optifit,1
0.19,0.926829268292683,optifit,1
0.2,0.926829268292683,optifit,1
0.21,0.926829268292683,optifit,1
0.22,0.926829268292683,optifit,1
0.23,0.926829268292683,optifit,1
0.24,0.926829268292683,optifit,1
0.25,0.926829268292683,optifit,1
0.26,0.926829268292683,optifit,1
0.27,0.8780487804878049,optifit,1
0.28,0.8780487804878049,optifit,1
0.29,0.8780487804878049,optifit,1
0.3,0.8780487804878049,optifit,1
0.31,0.8780487804878049,optifit,1
0.32,0.8536585365853658,optifit,1
0.33,0.8536585365853658,optifit,1
0.34,0.8536585365853658,optifit,1
0.35000000000000003,0.8536585365853658,optifit,1
0.36,0.8536585365853658,optifit,1
0.37,0.8536585365853658,optifit,1
0.38,0.8536585365853658,optifit,1
0.39,0.8536585365853658,optifit,1
0.4,0.8536585365853658,optifit,1
0.41000000000000003,0.8292682926829268,optifit,1
0.42,0.8292682926829268,optifit,1
0.43,0.8048780487804879,optifit,1
0.44,0.7804878048780488,optifit,1
0.45,0.7804878048780488,optifit,1
0.46,0.7317073170731707,optifit,1
0.47000000000000003,0.7317073170731707,optifit,1
0.48,0.6829268292682927,optifit,1
0.49,0.6829268292682927,optifit,1
0.5,0.6341463414634146,optifit,1
0.51,0.6341463414634146,optifit,1
0.52,0.6341463414634146,optifit,1
0.53,0.5609756097560976,optifit,1
0.54,0.5609756097560976,optifit,1
0.55,0.5609756097560976,optifit,1
0.56,0.5609756097560976,optifit,1
0.5700000000000001,0.4878048780487805,optifit,1
0.58,0.43902439024390244,optifit,1
0.59,0.43902439024390244,optifit,1
0.6,0.4146341463414634,optifit,1
0.61,0.4146341463414634,optifit,1
0.62,0.3902439024390244,optifit,1
0.63,0.3902439024390244,optifit,1
0.64,0.3902439024390244,optifit,1
0.65,0.3170731707317073,optifit,1
0.66,0.3170731707317073,optifit,1
0.67,0.24390243902439024,optifit,1
0.68,0.24390243902439024,optifit,1
0.6900000000000001,0.24390243902439024,optifit,1
0.7000000000000001,0.24390243902439024,optifit,1
0.71,0.21951219512195122,optifit,1
0.72,0.21951219512195122,optifit,1
0.73,0.21951219512195122,optifit,1
0.74,0.21951219512195122,optifit,1
0.75,0.21951219512195122,optifit,1
0.76,0.1951219512195122,optifit,1
0.77,0.1951219512195122,optifit,1
0.78,0.1951219512195122,optifit,1
0.79,0.1951219512195122,optifit,1
0.8,0.1951219512195122,optifit,1
0.81,0.1951219512195122,optifit,1
0.8200000000000001,0.1951219512195122,optifit,1
0.8300000000000001,0.1951219512195122,optifit,1
0.84,0.1951219512195122,optifit,1
0.85,0.1951219512195122,optifit,1
0.86,0.1951219512195122,optifit,1
0.87,0.1951219512195122,optifit,1
0.88,0.17073170731707318,optifit,1
0.89,0.17073170731707318,optifit,1
0.9,0.17073170731707318,optifit,1
0.91,0.17073170731707318,optifit,1
0.92,0.17073170731707318,optifit,1
0.93,0.07317073170731707,optifit,1
0.9400000000000001,0.07317073170731707,optifit,1
0.9500000000000001,0.07317073170731707,optifit,1
0.96,0.07317073170731707,optifit,1
0.97,0.07317073170731707,optifit,1
0.98,0.07317073170731707,optifit,1
0.99,0.04878048780487805,optifit,1
1,0,optifit,1
0,0.9782608695652174,optifit,10
0.01,0.9782608695652174,optifit,10
0.02,0.9565217391304348,optifit,10
0.03,0.9565217391304348,optifit,10
0.04,0.9347826086956522,optifit,10
0.05,0.9347826086956522,optifit,10
0.06,0.9130434782608695,optifit,10
0.07,0.9130434782608695,optifit,10
0.08,0.9130434782608695,optifit,10
0.09,0.9130434782608695,optifit,10
0.1,0.9130434782608695,optifit,10
0.11,0.9130434782608695,optifit,10
0.12,0.8913043478260869,optifit,10
0.13,0.8913043478260869,optifit,10
0.14,0.8478260869565217,optifit,10
0.15,0.8478260869565217,optifit,10
0.16,0.8478260869565217,optifit,10
0.17,0.8478260869565217,optifit,10
0.18,0.8043478260869565,optifit,10
0.19,0.8043478260869565,optifit,10
0.2,0.8043478260869565,optifit,10
0.21,0.8043478260869565,optifit,10
0.22,0.8043478260869565,optifit,10
0.23,0.8043478260869565,optifit,10
0.24,0.8043478260869565,optifit,10
0.25,0.782608695652174,optifit,10
0.26,0.782608695652174,optifit,10
0.27,0.782608695652174,optifit,10
0.28,0.782608695652174,optifit,10
0.29,0.782608695652174,optifit,10
0.3,0.782608695652174,optifit,10
0.31,0.782608695652174,optifit,10
0.32,0.782608695652174,optifit,10
0.33,0.782608695652174,optifit,10
0.34,0.782608695652174,optifit,10
0.35000000000000003,0.7608695652173914,optifit,10
0.36,0.7608695652173914,optifit,10
0.37,0.6739130434782609,optifit,10
0.38,0.6739130434782609,optifit,10
0.39,0.6739130434782609,optifit,10
0.4,0.6739130434782609,optifit,10
0.41000000000000003,0.6521739130434783,optifit,10
0.42,0.6521739130434783,optifit,10
0.43,0.6521739130434783,optifit,10
0.44,0.6521739130434783,optifit,10
0.45,0.6086956521739131,optifit,10
0.46,0.6086956521739131,optifit,10
0.47000000000000003,0.6086956521739131,optifit,10
0.48,0.6086956521739131,optifit,10
0.49,0.5869565217391305,optifit,10
0.5,0.5652173913043478,optifit,10
0.51,0.5652173913043478,optifit,10
0.52,0.5434782608695652,optifit,10
0.53,0.5434782608695652,optifit,10
0.54,0.5217391304347826,optifit,10
0.55,0.5217391304347826,optifit,10
0.56,0.5217391304347826,optifit,10
0.5700000000000001,0.5217391304347826,optifit,10
0.58,0.5217391304347826,optifit,10
0.59,0.5217391304347826,optifit,10
0.6,0.5217391304347826,optifit,10
0.61,0.5217391304347826,optifit,10
0.62,0.5,optifit,10
0.63,0.5,optifit,10
0.64,0.4782608695652174,optifit,10
0.65,0.4782608695652174,optifit,10
0.66,0.45652173913043476,optifit,10
0.67,0.45652173913043476,optifit,10
0.68,0.41304347826086957,optifit,10
0.6900000000000001,0.41304347826086957,optifit,10
0.7000000000000001,0.391304347826087,optifit,10
0.71,0.391304347826087,optifit,10
0.72,0.391304347826087,optifit,10
0.73,0.391304347826087,optifit,10
0.74,0.391304347826087,optifit,10
0.75,0.391304347826087,optifit,10
0.76,0.391304347826087,optifit,10
0.77,0.2608695652173913,optifit,10
0.78,0.2608695652173913,optifit,10
0.79,0.2608695652173913,optifit,10
0.8,0.2608695652173913,optifit,10
0.81,0.2391304347826087,optifit,10
0.8200000000000001,0.2391304347826087,optifit,10
0.8300000000000001,0.2391304347826087,optifit,10
0.84,0.2391304347826087,optifit,10
0.85,0.2391304347826087,optifit,10
0.86,0.2391304347826087,optifit,10
0.87,0.2391304347826087,optifit,10
0.88,0.2391304347826087,optifit,10
0.89,0.21739130434782608,optifit,10
0.9,0.21739130434782608,optifit,10
0.91,0.1956521739130435,optifit,10
0.92,0.1956521739130435,optifit,10
0.93,0.1956521739130435,optifit,10
0.9400000000000001,0.1956521739130435,optifit,10
0.9500000000000001,0.1956521739130435,optifit,10
0.96,0.1956521739130435,optifit,10
0.97,0.13043478260869565,optifit,10
0.98,0.13043478260869565,optifit,10
0.99,0.08695652173913043,optifit,10
1,0,optifit,10
0,1,optifit,11
0.01,1,optifit,11
0.02,1,optifit,11
0.03,1,optifit,11
0.04,1,optifit,11
0.05,1,optifit,11
0.06,1,optifit,11
0.07,0.9791666666666666,optifit,11
0.08,0.9791666666666666,optifit,11
0.09,0.9791666666666666,optifit,11
0.1,0.9791666666666666,optifit,11
0.11,0.9791666666666666,optifit,11
0.12,0.9791666666666666,optifit,11
0.13,0.9791666666666666,optifit,11
0.14,0.9583333333333334,optifit,11
0.15,0.9583333333333334,optifit,11
0.16,0.9583333333333334,optifit,11
0.17,0.9583333333333334,optifit,11
0.18,0.9583333333333334,optifit,11
0.19,0.9583333333333334,optifit,11
0.2,0.9583333333333334,optifit,11
0.21,0.9583333333333334,optifit,11
0.22,0.9583333333333334,optifit,11
0.23,0.9583333333333334,optifit,11
0.24,0.9583333333333334,optifit,11
0.25,0.9583333333333334,optifit,11
0.26,0.9375,optifit,11
0.27,0.9375,optifit,11
0.28,0.875,optifit,11
0.29,0.875,optifit,11
0.3,0.875,optifit,11
0.31,0.875,optifit,11
0.32,0.875,optifit,11
0.33,0.875,optifit,11
